company_industry,mapped_industry
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
,Other
,Other
Hospitals and Health Care,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Business Consulting and Services,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
"Higher Education,  Education General,  Education","education, school, university, college, learning, online education, e-learning, educational services"
"Government Administration,  Commercial & Residential Construction,  Construction","construction, building, contractor, infrastructure, civil engineering, construction services, real estate development"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Retail Health and Personal Care Products,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
,Other
"Investment Management,  Finance General,  Energy,  Private Equity Capital,  Finance","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
,Other
Staffing and Recruiting,"staffing, recruiting, recruitment, hiring, talent acquisition, HR services, human resources, employment services"
,Other
,Other
,Other
,Other
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
"IT Services and IT Consulting,  Information Collection & Delivery,  Real time Big Data,  Media & Internet,  Internet of the things,  Turning machine data into business insights,  Advanced Analytics,  Data visualization,  Compliance,  Monitoring,  Business Intelligence,  Log management,  Geolocation,  Security","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
,Other
,Other
Defense and Space Manufacturing,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Book and Periodical Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
,Other
,Other
"Technology, Information and Media","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
,Other
Public Relations and Communications Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
,Other
,Other
"Technology, Information and Media","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Marketing Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
,Other
Specialty Trade Contractors,Other
,Other
,Other
Financial Services,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
,Other
,Other
,Other
,Other
,Other
,Other
,Other
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
,Other
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Transportation/Trucking/Railroad,Other
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
Wholesale,Other
,Other
,Other
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
,Other
,Other
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
,Other
,Other
,Other
,Other
,Other
Chemical Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
,Other
Book and Periodical Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Market Research,Other
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Political Organizations,Other
,Other
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
,Other
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Food and Beverage Manufacturing,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
,Other
,Other
,Other
,Other
,Other
,Other
,Other
Legal Services,"legal services, law, law firm, attorney, legal consulting, litigation, legal advice, corporate law"
,Other
,Other
Entertainment Providers,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Fabricated Metal Products,"pharmaceuticals, drug, medicine, biotech, biotechnology, pharmaceutical services, drug development, clinical trials, healthcare products"
,Other
Retail,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
,Other
,Other
Information Technology & Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Law Enforcement,"legal services, law, law firm, attorney, legal consulting, litigation, legal advice, corporate law"
,Other
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
,Other
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
"Online Audio and Video Media,  Media & Internet General,  Education,  Language,  Media & Internet,  Mobile,  Learning,  Technology","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Non-profit Organizations,Other
Food Production,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
,Other
,Other
,Other
Food Production,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
,Other
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
,Other
,Other
Non-profit Organizations,Other
Food and Beverage Manufacturing,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
,Other
Food and Beverage Services,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
,Other
,Other
,Other
,Other
,Other
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
,Other
,Other
,Other
,Other
,Other
,Other
,Other
Wholesale Apparel and Sewing Supplies,Other
,Other
,Other
Online Media,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Oil and Gas,"energy, oil, gas, renewable, power, electricity, solar energy, wind energy, energy services, energy production"
,Other
,Other
,Other
Venture Capital and Private Equity Principals,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
